region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
14,8995,2013,27,2128,4,5,2,130423,5,3,1,8,0,3.0
14,2400,2002,6,2919,3,6,2,194956,5,3,2,8,0,1.0
14,7295,2007,14,3136,4,5,2,77580,5,3,3,8,0,2.0
14,3495,2006,28,1682,4,5,2,162033,5,3,1,13,5,2.0
14,3500,2009,34,769,4,3,2,191538,5,3,1,4,0,3.0
14,8400,2008,6,2927,4,6,4,176353,3,3,2,8,10,3.0
14,3600,2006,26,1922,4,3,2,133000,5,3,1,4,10,2.0
14,4200,2006,13,2190,3,5,2,129046,3,3,1,3,9,2.0
14,18795,2015,34,628,4,5,2,30680,5,3,1,4,3,3.0
14,17595,2010,10,1461,4,6,4,135536,5,3,3,7,0,3.0
14,3200,2000,34,1376,4,5,2,101770,5,3,3,8,0,3.0
14,4200,2007,10,1559,4,5,2,101770,5,3,3,8,0,2.0
14,3200,2008,22,315,3,5,2,101770,5,3,3,8,9,3.0
14,22500,2016,10,1195,5,3,2,46850,5,3,3,8,5,3.0
14,8300,2013,10,1290,4,3,2,116500,5,3,1,4,1,3.0
14,1700,1999,34,957,3,3,2,135000,5,3,1,4,9,2.0
14,19495,2014,6,749,4,6,2,78954,5,3,2,1,10,3.0
14,18295,2016,33,3199,4,3,2,50824,2,2,3,4,10,1.0
14,22995,2018,27,1621,5,5,2,101770,5,3,3,10,8,2.0
14,12495,2015,35,1710,4,3,0,75915,5,3,1,1,10,3.0
14,21500,2008,11,2648,4,6,0,224878,5,3,3,10,0,2.0
14,16900,2017,34,2405,5,3,2,51300,5,3,1,8,10,2.0
14,27400,2017,23,1698,4,5,2,12340,5,3,3,8,10,3.0
14,12000,2012,10,1376,4,6,2,151000,5,3,3,10,9,1.0
14,1500,1998,10,356,2,5,2,187000,5,3,2,7,10,2.0
14,1800,2004,27,3273,3,5,2,101770,5,3,3,8,9,3.0
14,10795,2014,35,2249,4,3,0,79187,5,3,1,4,9,1.0
14,16695,2008,34,1551,4,5,2,163658,5,3,3,8,11,1.0
14,9000,2007,6,2916,3,6,2,165000,5,3,2,8,3,3.0
14,11000,2001,16,3268,4,5,2,78000,5,3,2,13,10,2.0
14,9999,2012,35,1710,4,3,0,69502,5,2,1,1,1,1.0
14,6495,2008,17,1961,4,5,2,130535,5,3,3,8,0,2.0
14,9995,2013,35,2249,4,3,0,85111,5,3,1,4,3,2.0
14,12795,2012,35,2993,4,5,0,140776,5,3,3,8,3,1.0
14,9795,2014,35,647,4,3,0,106696,5,3,1,1,1,3.0
14,11495,2013,9,293,4,3,2,26473,5,2,1,1,3,3.0
14,17495,2012,30,34,4,6,2,82882,5,3,3,7,0,2.0
14,22495,2016,3,3209,4,3,2,54489,5,3,3,8,10,1.0
14,9995,2012,18,2199,4,3,2,101172,5,3,1,4,9,2.0
14,4250,2004,10,1311,4,6,2,203972,5,3,3,8,9,1.0
14,16995,2015,36,3242,4,3,2,69699,5,3,1,8,3,2.0
14,7995,2004,17,3164,4,5,2,132920,5,2,3,8,8,1.0
14,29795,2016,34,264,4,5,2,57645,5,3,3,8,8,1.0
14,22795,2015,34,1776,4,5,2,54322,5,3,3,8,1,1.0
14,20495,2018,13,861,4,3,2,17082,5,3,1,1,5,2.0
14,27795,2015,23,1694,4,5,2,63380,5,3,3,8,10,3.0
14,6495,2013,14,528,4,3,2,111060,5,3,1,4,1,3.0
14,12795,2014,10,1638,4,3,2,66747,5,3,1,4,10,3.0
14,10795,2012,2,508,4,3,2,96293,5,3,1,4,9,1.0
14,24595,2008,30,235,4,5,0,139400,5,3,3,7,10,2.0
14,15495,2015,10,1534,4,3,2,27730,5,2,1,1,8,3.0
14,17495,2015,13,2185,4,5,2,62751,5,3,1,1,9,2.0
14,14495,2012,17,1730,4,5,4,103117,5,3,3,8,3,2.0
14,18795,2014,11,521,4,5,2,85961,5,3,3,8,10,2.0
14,9995,2012,17,1961,4,5,2,106169,5,3,3,8,9,3.0
14,8995,2012,34,2336,4,3,3,166594,5,3,1,3,9,3.0
14,12145,2017,27,2585,4,3,2,30853,5,3,1,4,9,2.0
14,7995,2009,33,2207,4,3,2,134561,5,3,3,3,10,2.0
14,32475,2015,34,3084,4,6,4,61774,5,3,3,7,8,1.0
14,10595,2016,14,1197,4,3,2,59645,5,3,1,4,10,2.0
14,10295,2013,34,769,4,3,3,154852,5,3,1,4,10,3.0
14,23995,2015,17,3164,4,5,2,64438,5,3,3,8,9,1.0
14,13795,2017,27,571,4,3,2,64377,5,3,1,4,9,2.0
14,20945,2017,27,2048,4,5,2,31034,5,3,1,4,9,3.0
14,22795,2016,20,1842,4,3,2,27737,5,3,2,4,9,2.0
14,12000,2016,10,2171,5,3,2,87000,5,3,1,1,0,1.0
14,2895,2003,7,938,4,5,2,101770,5,3,1,8,9,2.0
14,7900,2005,20,2482,4,5,2,130940,5,3,1,8,10,2.0
14,8600,2008,20,1843,4,5,2,131000,5,3,2,4,10,3.0
14,5900,2006,30,22,4,6,2,148000,5,3,2,10,10,2.0
14,8000,2013,6,2785,5,3,2,89000,5,3,1,4,5,1.0
14,5200,2004,8,1114,4,6,2,127465,5,3,3,8,0,2.0
14,9600,2006,30,109,4,6,2,97205,5,3,2,10,10,3.0
14,14255,2014,25,947,4,3,2,34265,5,3,1,13,10,2.0
14,14995,2015,34,2322,5,3,3,43125,5,3,1,4,10,1.0
14,24800,2011,30,118,4,5,2,150505,5,3,3,10,10,3.0
14,14255,2008,30,130,4,6,2,77235,5,3,2,10,10,3.0
14,31000,2016,10,2150,4,6,2,34000,5,3,2,12,8,3.0
14,21900,2018,13,861,4,3,2,101770,5,2,1,12,10,3.0
14,5995,2013,27,2278,4,5,2,101770,5,3,3,8,0,1.0
14,1500,1998,10,2139,3,6,2,101770,5,3,2,8,10,3.0
14,3999,2007,10,2939,4,5,2,98430,5,3,1,4,9,1.0
14,22500,2014,17,3188,4,5,2,65000,5,2,3,1,5,3.0
14,5000,2001,6,2717,4,6,2,101770,5,3,3,7,5,3.0
